Sr_No,Hospital_Name,Address_Original_First_Line,Location,District,State,Pincode,State_ID,District_ID,Latitude,Longitude,coords_valid
15211,Totall Hospital,"2Nd Floor, Bcm Health Island, Pu-4, Scheme No.54 Near Bombay Hospital","2Nd Floor, Bcm Health Island, Pu-4, Scheme No.54 Near Bombay Hospital, Indore",Indore,Madhya Pradesh,452010,23,439,22.7195687,75.8577258,True
15212,Universal Hospital And Care Centre,"Wb-22, Scheme No. 94","Wb-22, Scheme No. 94, Indore",Indore,Madhya Pradesh,452010,23,439,22.7600454,75.9066668,True
15213,Vinayaka Nursing Home,"A/M-65,Sukhliya,Near Jain Manidr","A/M-65,Sukhliya,Near Jain Manidr,Indore",Indore,Madhya Pradesh,452010,23,439,22.716696,75.89821,True
15214,Yash Diagnostic Solutions,"Metro Tower, 18 Floor, Ab Road, Vijay Nagar Square","Metro Tower, 18 Floor, Ab Road, Vijay Nagar Square, Indore",Indore,Madhya Pradesh,452010,23,439,22.7507104,75.8955229,True
15215,P.C. Nursing Home,"466/6,Sarvyahara Nagar,Nandanagar","466/6,Sarvyahara Nagar,Nandanagar,Indore",Indore,Madhya Pradesh,452011,23,439,22.744629,75.874243,True
15216,Vatsalya Nursing Home,"341, Clerk Colony, Pardeshipura","341, Clerk Colony, Pardeshipura, Indore",Indore,Madhya Pradesh,452011,23,439,22.7195687,75.8577258,True
15218,Choithram Hospital and Research Centre,Manik Bagh Road,"Manik Bagh Road, Indore",Indore,Madhya Pradesh,452014,23,439,22.6957659,75.8547941,True
15219,Shashi Nursing Home,"2 , Raghuwanshi Colony","2, Raghuwanshi Colony",Indore,Madhya Pradesh,452014,23,439,28.6100931,77.3456487,True
15220,Deep Nursing Home (P) Ltd,32/39 Khasgiwla Bagicha Nr. Vrindavan Colony,32/39 Khasgiwla Bagicha Nr. Vrindavan Colony Indore,Indore,Madhya Pradesh,452015,23,439,22.7195687,75.8577258,True
15221,Lekhi Hospital,Pithampur Sector-1,"Pithampur Sector-1, Indore",Indore,Madhya Pradesh,452015,23,439,22.6008535,75.6868608,True
15222,Al- Hayat Prasuti Grah and Surgical Centre,"Khairana Main Road, Zam Zam Chouraha, Khajrana","Khairana Main Road, Zam Zam Chouraha, Khajrana Indore.",Indore,Madhya Pradesh,452016,23,439,22.7314564,75.9143867,True
15227,"Lahoti Medicare Pvt Ltd.,","#4/5, Old Palasia,Ravindra Nagar,Opp Paniki Tanki.","4/5, Old Palasia,Ravindra Nagar,Opp Paniki Tanki.",Indore,Madhya Pradesh,452018,23,439,22.721423,75.893038,True
15228,Nahar Nursing Home,"70/4, Sanvid Nagar, Kanadia Road","70/4, Sanvid Nagar, Kanadia Road, Indore",Indore,Madhya Pradesh,452018,23,439,22.7209529,75.8997767,True
15230,Rajshree Nursing Home,"37, Martand Chowk","37, Martand Chowk Indore",Indore,Madhya Pradesh,452018,23,439,22.7240004,75.8555741,True
15231,Royal Care Hospital,"32 Shanti Nagar, Shri Nagar Ext. Khajrana Road","32 Shanti Nagar, Shri Nagar Ext. Khajrana Road",Indore,Madhya Pradesh,452018,23,439,22.7291491,75.8963902,True
15232,S. K. Hospital,"5/47-C, Mahesh Nagar","5/47-C, Mahesh Nagar Indore",Indore,Madhya Pradesh,452018,23,439,22.7166063,75.8381435,True
15233,Shri Aurobindo Institute Of Medical Sciences,"Mr. 10, Crossing Indore Ujjain Highway , Janwar Road","Mr. 10, Crossing Indore Ujjain Highway, Janwar Road, Indore,",Indore,Madhya Pradesh,452018,23,439,22.7195687,75.8577258,True
15234,Getwell Hospital,"No. 147-Ab Road, Opposite Chana Godown,Mhow","No. 147-Ab Road, Opposite Chana Godown,Mhow,",Indore,Madhya Pradesh,453441,23,439,22.5524372,75.7565273,True
15235,Malwa Nursing Home,"1774, Abdul Gafoor Road, Mhow","1774, Abdul Gafoor Road, Mhow",Indore,Madhya Pradesh,453441,23,439,22.5524372,75.7565273,True
15237,O.P. Memorial Trauma and Naternity Clinic,"367,Plow Down Road,Nr.Redcross Hospital,Mhow","367,Plow Down Road,Nr.Redcross Hospital,Mhow",Indore,Madhya Pradesh,453441,23,439,22.5524372,75.7565273,True
15238,Prashanti Hospital,"# 124, Simrul Road, Mhow","124, Simrul Road, Mhow, Indore",Indore,Madhya Pradesh,453441,23,439,22.5551726,75.7613356,True
15239,Red Cross Hospital,Mhow,Mhow Indore,Indore,Madhya Pradesh,453441,23,439,22.7195687,75.8577258,True
15240,Pyari Bai Memorial Hospital,Bazer Chowr,"Bazer Chowr,.",Indore,Madhya Pradesh,453551,23,439,22.7195687,75.8577258,True
15241,Prem Nursing Home,A.B. Road Manglia,A.B. Road Manglia,Indore,Madhya Pradesh,453771,23,439,22.8119715,75.9347113,True
15242,Bombay Hospital,Ring Road,"Ring Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452010,,439,22.6941587,75.8279695,True
15243,CHL Hospitals,A.B,"A.B.Road, Near L.I.G Square, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452008,,439,22.6919422,75.8665303,True
15244,Vishesh Hospital,"Near Geeta Bhawan Chouraha, A.B.Road","Near Geeta Bhawan Chouraha, A.B.Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15245,Gokuldas Hospital,Sarju Prasad Marg,"Sarju Prasad Marg, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15246,Choithram Hospital and Research Centre,Manik Bagh Road,"Manik Bagh Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452014,,439,22.6957659,75.8547941,True
15247,Sahaj Hospital,"15/2, South Tukogani, Near manas Bhawan","15/2, South Tukogani, Near manas Bhawan, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7166872,75.8739793,True
15248,Beams Hospitals,"15/2 South Tukoganj, Near Surya Hotel","15/2 South Tukoganj, Near Surya Hotel, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15249,Arihant Hospital and Research Center,"Situated in 283 - A, Gumasta Nagar","Situated in 283 - A, Gumasta Nagar, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452009,,439,22.700988,75.829832,True
15250,Suyash Hospital,"Opposite M.G.M Medical college, A.B.Road","Opposite M.G.M Medical college, A.B.Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452017,,439,22.7989708,75.9349835,True
15251,Rajshree Hospitals,"Scheme No.74 C, Sector D, Vijay Nagar","Scheme No.74 C, Sector D, Vijay Nagar, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452010,,439,22.764179,75.8862749,True
15252,Dr.Hardia Eye Hospital,"69, Hardia Compound","69, Hardia Compound, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15253,Varma Union Hospital,"Dhar Road, OppositeKastur cinema","Dhar Road, OppositeKastur cinema, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452002,,439,22.7195687,75.8577258,True
15254,Mohak Hitech Speciality Hospital,"Sri Aurobindo Institute of Campus, Near M R 10 Crossing, Sanwer Road, Indore Ujjain State Highway","Sri Aurobindo Institute of Campus, Near M R 10 Crossing, Sanwer Road, Indore Ujjain State Highway, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452015,,439,22.7195687,75.8577258,True
15255,Gurjar Hospital and Endoscopy Centre,"2/3, Sheme No - 44, A.B.Road, Bhanwarkua Square","2/3, Sheme No - 44, A.B.Road, Bhanwarkua Square, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15256,Gurjar Hospital and Endoscopy Centre,"102, Silver Sanchora Castle, Opposite Indore University, Behind Modi Petrol Pump, R N T Marg","102, Silver Sanchora Castle, Opposite Indore University, Behind Modi Petrol Pump, R N T Marg, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7125132,75.8754389,True
15257,Greater Kailash Hospital,"11/2, Old Palasia","11/2, Old Palasia, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452018,,439,22.731337,75.876914,True
15258,Sri Auriboindo Institute of Medical Sciences,"Indore Ujjain State Highway, Near MR 10 Crossing","Indore Ujjain State Highway, Near MR 10 Crossing, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,453111,,439,22.7898854,75.8472972,True
15259,Indore Eye Hospital,"Behind Gangwal Bus stand, Dhar road, M.O.G.Lines","Behind Gangwal Bus stand, Dhar road, M.O.G.Lines, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7125956,75.8411395,True
15260,Aadya Hospital,Aadya Hospital,"Aadya Hospital, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15261,Synergy Hospital,Vijay Nagar,"Vijay Nagar, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452010,,439,22.7684301,75.8957024,True
15263,Life Line Hospital,"14, Anoop Nagar, A.B.Road, M.I.G.Circle","14, Anoop Nagar, A.B.Road, M.I.G.Circle, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452008,,439,22.7341758,75.890173,True
15264,Life Care Hospital,"Scheme No.78, Vijay Nagar","Scheme No.78, Vijay Nagar, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452010,,439,22.7644564,75.8858062,True
15265,Medicare Hospital and Research Centre,"4/5, Old Palasia, Ravindra Nagar","4/5, Old Palasia, Ravindra Nagar, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.721423,75.893038,True
15266,CHL CBCC Cancer Center,"142 Phadnis Colon, A.B.Road","142 Phadnis Colon, A.B.Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452008,,439,22.7322344,75.8897847,True
15267,Unique Hospital,"715 - 716 Vijay Syndicatee, Annapurna Main Road","715 - 716 Vijay Syndicatee, Annapurna Main Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452009,,439,22.7195687,75.8577258,True
15268,Medisquare Hospital,"9, Vishnupuri, A.B.Road, Bhanwarkua Square","9, Vishnupuri, A.B.Road, Bhanwarkua Square, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452001,,439,22.7195687,75.8577258,True
15269,Charak Hospital,"Film Bhawan Rani Sati Gate, Y.N.Road","Film Bhawan Rani Sati Gate, Y.N.Road, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452003,,439,22.7195687,75.8577258,True
15270,"Centre for Sight, Indore","101, Bansiwala Tower, Agrasen Square","101, Bansiwala Tower, Agrasen Square, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452010,,439,22.7030399,75.8729802,True
15271,Mayur Hospital and Research Centre,"Sch No - 94, Ring Road, Near Bengali Chouraha","Sch No - 94, Ring Road, Near Bengali Chouraha, Indore, Madhya Pradesh.",Indore,Madhya Pradesh,452010,,439,22.7195687,75.8577258,True
15272,Aashish Hospital,"Homescience College Road,Nepiar Town","Homescience College Road,Nepiar Town,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1598957,79.9237865,True
15273,Aditya Superspeciality Hospital and Trauma Centre,"Opposite Little Kingdom School, Home Science College Road,Napier Town","Opposite Little Kingdom School, Home Science College Road,Napier Town,",Jabalpur,Madhya Pradesh,482001,23,451,23.1598957,79.9237865,True
15274,Akshay Maternity And Nursing Home,"Sbi Road,Hatital Railway Crossing","Sbi Road,Hatital Railway Crossing,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15277,Chhavi Eye Hospital Ice Phoco And Navex Laser Cent,"2495,Wright Town, Tel. Fectory Gate No.3","2495,Wright Town, Tel. Fectory Gate No.3, Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15279,Dashmesh Hospital and Research Center,"J.D.A Building,Madan Mahel","J.D.A Building,Madan Mahel,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1602717,79.9207966,True
15280,Dube Surgical And Dental Hospital - Jabalpur,"Ghmapur Chowk, Near High Court","Ghmapur Chowk, Near High Court, Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15281,Golcha Hospital And Urological Research Centre,56 Napier Town,"56 Napier Town,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1588306,79.9318623,True
15282,Hussain Eye Hospital and Lesar and Pacho Surgery Cente,"740,Anand Cinema Road,Infront Of Yamaha Showroom,Nepier Town","740,Anand Cinema Road,Infront Of Yamaha Showroom,Nepier Town,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15284,Johri Hospital,"1177, Wright Town, Next To Dena Bank","1177, Wright Town, Next To Dena Bank, Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15285,Madan Mahal Hospital,"Prem Nagar, Nagapur Road","Prem Nagar, Nagapur Road",Jabalpur,Madhya Pradesh,482001,23,451,21.1489395,79.1165623,True
15286,Manglam Hospital,"1222,Wright Town","1222,Wright Town,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1668193,79.9264725,True
15287,Marble City Hospital And Research Centre,"21, North Civil Line, Near 2Nd Bridge","21, North Civil Line, Near 2Nd Bridge Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1622205,79.9455893,True
15289,Narmada Hospital,"Corporate Black D, Shatabdipuram,Mr-4 Road","Corporate Black D, Shatabdipuram,Mr-4 Road, Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15290,P.G. Hospital,"1933,Right Town,Nr. Prem Mandir","1933,Right Town,Nr. Prem Mandir,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15291,Pandey Hospital Pvt Ltd,"Beowar Bagh , Near High Court","Beowar Bagh, Near High Court, Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.168561,79.9471771,True
15292,Rama Chatterjee Nuring Maternity Home Frature and Ac,Yadav Colony,"Yadav Colony,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1724758,79.9150724,True
15294,Saket Nursing Home,Yadav Colony,"Yadav Colony,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.1724758,79.9150724,True
15297,Seth Govonddas Hospital,,Jabalpur,Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15298,Seth Mannulal Jagannathdas Trust,Dixitpura,Dixitpura,Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15299,Shubh Labh Hospital,"1573,Right Town","1573,Right Town, Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15300,Sule Nursing Home,Near Rampur Railway Crossing,"Near Rampur Railway Crossing,",Jabalpur,Madhya Pradesh,482001,23,451,26.3143711,84.0295707,True
15301,Triveni Heart Institute and Cardiac Surgery Centre,Golbazar,Golbazar Jabalpur,Jabalpur,Madhya Pradesh,482001,23,451,23.181467,79.9864071,True
15302,Vimal Nursing And Maternity Home,"315/3A, Main Road,Adhartal","315/3A, Main Road,Adhartal,Jabalpur",Jabalpur,Madhya Pradesh,482001,23,451,23.188232,79.9278662,True
15303,Agrawal Surgical and Maternity Home,Baldeobagh,"Baldeobagh, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15304,Anant Nursing Home Pvt Ltd,Near Gate No: 4 Madan Mahal Railway Station Road Wright Town,Near Gate No: 4 Madan Mahal Railway Station Road Wright Town Jabalpur,Jabalpur,Madhya Pradesh,482002,23,451,23.1654784,79.9222821,True
15305,Ashish Hospital,"Home Science College Road, Near Madan Mahal Station Road","Home Science College Road, Near Madan Mahal Station Road, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1601684,79.9212752,True
15307,Central Hospital and Research Center,"713,Kamala Nehru Nagar","713,Kamala Nehru Nagar, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1689153,79.9112243,True
15308,Central India Kidney Hospital,"1572, Behindchanchala Bai College ,Wright Town","1572, Behindchanchala Bai College,Wright Town, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1668193,79.9264725,True
15309,Chiranjeev Children Hospital,"Op. Dn. Jain Colege, Near Jamdar Hospital","Op. Dn. Jain Colege, Near Jamdar Hospital Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15310,Chirayu Intensive Care Hospital and Research Centre,"1123, Saket Bhawan, Wright Town","1123, Saket Bhawan, Wright Town, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1668193,79.9264725,True
15311,Dev Chhaya Centre For Child Development,"2243, Near Prem Mandir, Wright Town","2243, Near Prem Mandir, Wright Town Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1668193,79.9264725,True
15312,Dr. Gupats Uday Nursing Home and Resesarch Centre,"990, Wright Town","990, Wright Town, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1668193,79.9264725,True
15313,Dr. Ravi Agrawal Eye Hospital and Phako Centre,"1149,Home Science College Road,Napier Town","1149,Home Science College Road,Napier Town Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1598957,79.9237865,True
15314,Harshey Hospital,"Labour Chowk , Garha Road","Labour Chowk, Garha Road, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1692089,79.9176727,True
15315,Hindustan Hospital,"Civic Centre,Marhatal","Civic Centre,Marhatal,Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1689057,79.9335596,True
15317,Jabalpur Hospital Research Centre,Napier Town Russel Crossing,Napier Town Russel Crossing Jabalpur,Jabalpur,Madhya Pradesh,482002,23,451,23.1632475,79.9369993,True
15318,Jamdar Hospital Pvt Ltd,Gole Bazar,"Gole Bazar, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1708138,79.9304742,True
15319,Jan Jyoti Eye Hospital and Zyoptix Laser Centre,"1051, Golbazar","1051, Golbazar,Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1708138,79.9304742,True
15320,Jk Hospital,"#: 2006, Wright Town 2Nd Lane Behind Bus Stand",": 2006, Wright Town 2Nd Lane Behind Bus Stand Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15321,Mahakoshal Hospital,"Opposite Wright Town Stadium, Gate No-3","Opposite Wright Town Stadium, Gate No-3, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15323,Mohanlal Hargovind Das Cheritable Trust Hospital,"Near Chanchalabai College, Wright Town","Near Chanchalabai College, Wright Town",Jabalpur,Madhya Pradesh,482002,23,451,23.1673774,79.9255883,True
15324,Naik Nursing Home,Gole Bazar,"Gole Bazar,Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1708138,79.9304742,True
15325,National Hospital,"# 703, Near Saheed Smarak Gol Bazar","703, Near Saheed Smarak Gol Bazar Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1702093,79.927053,True
15326,Omega Childrens Hospital,"659, Gole Bazar, Near Mahakushal School","659, Gole Bazar, Near Mahakushal School, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15327,Sahni Hospital,"Near Hanuman Mandir, Adarsh Nagar, Narmada Road","Near Hanuman Mandir, Adarsh Nagar, Narmada Road, Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1358956,79.9282314,True
15328,Saptarishi Hospital,"1417, Wright Town","1417, Wright Town",Jabalpur,Madhya Pradesh,482002,23,451,23.1668193,79.9264725,True
15330,Shri Narmada Hospital,"Shatabdipuram,M.R.-4 Road,Corporate Block-D","Shatabdipuram,M.R.-4 Road,Corporate Block-D,Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15331,Silver Oak Hospital,"1812, 1813, 1814 Napier Town","1812, 1813, 1814 Napier Town Jabalpur",Jabalpur,Madhya Pradesh,482002,23,451,23.1588306,79.9318623,True
15332,Sutika Gruha and Shishu Kalyan Kendra,2565 Wright Town,2565 Wright Town Jabalpur,Jabalpur,Madhya Pradesh,482002,23,451,23.1668193,79.9264725,True
15333,Suvidha Poly Clinic And Research Centre,230 Madan Mahal Nagpur Road,230 Madan Mahal Nagpur Road Jabalpur,Jabalpur,Madhya Pradesh,482002,23,451,23.181467,79.9864071,True
15335,Kajal Maternity And Children Hospital,"Chitranjan Ward, Adhartal Main Rd","Chitranjan Ward, Adhartal Main Rd, Jabalpur",Jabalpur,Madhya Pradesh,482003,23,451,23.181467,79.9864071,True
15336,Kothari Surigcal And Trauma Centre,"Shri Narayan Bhavan, 1742, Gate No. 4, Square, Wrigh Town","Shri Narayan Bhavan, 1742, Gate No. 4, Square, Wrigh Town, Jabalpur.",Jabalpur,Madhya Pradesh,482003,23,451,23.181467,79.9864071,True
15337,Abhinandan Hospital and Research Centre,Adhartal Tiraha,"Adhartal Tiraha,.",Jabalpur,Madhya Pradesh,482004,23,451,23.181467,79.9864071,True
15338,Bhandari Memorial Hospital,Napier Town,"Napier Town,Jabalpur",Jabalpur,Madhya Pradesh,482004,23,451,23.1588306,79.9318623,True
15339,Bombay Hospital and Research Center,Gole Bazar,"Gole Bazar, Jabalpur",Jabalpur,Madhya Pradesh,482004,23,451,23.1708138,79.9304742,True
15340,Gupta Surgical Hospital and Maternity Home,Gwarighat Road,"Gwarighat Road,Jabalpur",Jabalpur,Madhya Pradesh,482004,23,451,23.1302617,79.9283992,True
15341,Mannulal Jagannathdas Hospital and R.C,Dixitpura,Dixitpura Jabalpur,Jabalpur,Madhya Pradesh,482004,23,451,23.181467,79.9864071,True
15342,Sanjeevan Hospital and Research Centre,"Ramnagar ,Adhartal,On Katni Road","Ramnagar,Adhartal,On Katni Road.",Jabalpur,Madhya Pradesh,482004,23,451,29.3947643,79.1264997,True
15348,Rogi Kalyn Samiti Govt Hospital,Megh Nagar,"Megh Nagar,Jhabua",Jhabua,Madhya Pradesh,457661,23,464,22.769666,74.5920921,True
15349,Baba Madhavshah Chikitsalaya,Madhav Nagar,"Madhav Nagar, Katni",Katni,Madhya Pradesh,483501,23,450,23.8049017,80.3909164,True
15350,Chandak Hospital,Chandak Chowk,"Chandak Chowk Katni,Mp",Katni,Madhya Pradesh,483501,23,450,23.8384513,80.3874439,True
15352,District Hospital,,Katni,Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15353,Eye Surgeon and X Ray Specailist,"Dr. Mangatram Road, Nai Basti","Dr. Mangatram Road, Nai Basti, Katni",Katni,Madhya Pradesh,483501,23,450,23.8402804,80.3935033,True
15354,G.K Hospital and Endosurgery Centre,Civil Lines,"Civil Lines,Katni",Katni,Madhya Pradesh,483501,23,450,23.8325328,80.3971781,True
15355,Gauri Hospital and Maternity Home,"Shastri Colony, Khirani Phatak","Shastri Colony, Khirani Phatak,Katni",Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15356,"Gupta Nursing Home,Katni","A - 19, New Acc Colony, Madhavnagar","A - 19, New Acc Colony, Madhavnagar, Katni",Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15357,Gurukripa Hospital and Endosurgery Centre,Civil Lines,"Civil Lines, Katni",Katni,Madhya Pradesh,483501,23,450,23.8325328,80.3971781,True
15358,Jagmohan Hospital,Main Road,"Main Road, Katni",Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15359,Katni Nursing Home,Shaheed Dwar,"Shaheed Dwar, Katni",Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15360,Mohanlal Gupta Memorial Hospital and Research Centre,Katchehari Chouraha,"Katchehari Chouraha, Katni",Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15361,Om Shanti Hospital,"Prabudhpuri Galli,Chandak Chowak Adarsh Colony","Prabudhpuri Galli,Chandak Chowak Adarsh Colony,Katni",Katni,Madhya Pradesh,483501,23,450,23.8308453,80.4072255,True
15362,Agrawal Nursing Home-Khandwa,Behind Town Hall,Behind Town Hall-Khandwa,Khandwa,Madhya Pradesh,450001,23,641,21.8257334,76.352571,True
15364,Hinduja Hospital,Sindhi Colony,"Sindhi Colony,Khandwa",Khandwa,Madhya Pradesh,450001,23,641,21.8323693,76.3408136,True
15367,Shubam Hospital,Anand Nagar,"Anand Nagar, Khandwa,",Khandwa,Madhya Pradesh,450001,23,641,21.8434782,76.3564929,True
15369,Alok Hospital,"Neemuch Road, Naiabadi","Neemuch Road, Naiabadi, Mandsaur",Mandsaur,Madhya Pradesh,458001,23,433,24.4763852,74.8624092,True
15373,Pamecha Hospitaland Cardiac Centre,Mhow Neemuch Road,Mhow Neemuch Road Mandsaur,Mandsaur,Madhya Pradesh,458001,23,433,22.5524372,75.7565273,True
15375,Perfect Eye Hospital,"Dashpur Kunj Road, Nai Abadi","Dashpur Kunj Road, Nai Abadi, Mandsaur",Mandsaur,Madhya Pradesh,458001,23,433,24.0698848,75.0706955,True
15376,R.K Hospital,"93,Nayapura Road","93,Nayapura Road,Mandsaur",Mandsaur,Madhya Pradesh,458001,23,433,24.0676144,75.0670813,True
15379,District Hospital,,Morena-476001,Morena,Madhya Pradesh,476001,23,419,25.6299127,85.0455609,True
15382,Parwati Nursing Home,Jail Road,Jail Road,Morena,Madhya Pradesh,476001,23,419,26.4939884,77.9989212,True
15384,Rathi Maternity Home,Near Nagar Palika,Near Nagar Palika Morena,Morena,Madhya Pradesh,476001,23,419,26.49754,77.9985776,True
15385,Utkarsh Hospital and Research Centre,"1774, Abdool Gaffor Road, Mhow","1774, Abdool Gaffor Road, Mhow",Morena,Madhya Pradesh,476001,23,419,22.5524372,75.7565273,True
15388,Majeji Nursing Home,"Neemuch Road, Manasa","Neemuch Road, Manasa",Neemuch,Madhya Pradesh,458110,23,432,24.4748048,75.140385,True
15389,Choudhary Nursing Home,"Bihar Bagh, Mehnot Nagar","Bihar Bagh, Mehnot Nagar Neemuch",Neemuch,Madhya Pradesh,458441,23,432,24.4763852,74.8624092,True
15390,Dr. Narula Eye Hospital,"77, Vikas Nagar","77, Vikas Nagar, Neemuch",Neemuch,Madhya Pradesh,458441,23,432,24.4672894,74.8726426,True
15391,Dr. S N Mandloi Memorial Hospital,Fawara Chowk,"Fawara Chowk,Neemuch",Neemuch,Madhya Pradesh,458441,23,432,24.4763852,74.8624092,True
15392,Garg Nursing Home,"46-Indira Nagar, Near Dak Bungalow, Opposite Petrol Pump. Manasa Road.","46-Indira Nagar, Near Dak Bungalow, Opposite Petrol Pump. Manasa Road. Neemuch.",Neemuch,Madhya Pradesh,458441,23,432,24.4763852,74.8624092,True
15393,Gomabai NethralayaandResearch Centre,,Neemuch,Neemuch,Madhya Pradesh,458441,23,432,24.4763852,74.8624092,True
15394,Gupta Surgical and Maternity Nursing Home,Manasa Road,"Manasa Road,Neemuch",Neemuch,Madhya Pradesh,458441,23,432,24.4763852,74.8624092,True
15395,Nirog Dham Nursing Home,"No. 216, Vikas Nagar","No. 216, Vikas Nagar, Nimach",Neemuch,Madhya Pradesh,458441,23,432,24.4672894,74.8726426,True
15396,Pawan Clinic and Nursing Home,"234,Vikash Nagar","234,Vikash Nagar Neemuch",Neemuch,Madhya Pradesh,458441,23,432,24.4672894,74.8726426,True
15397,Pukhratan Hospital,Vikas Nagar,"Vikas Nagar,Neemuch",Neemuch,Madhya Pradesh,458441,23,432,24.4672894,74.8726426,True
15398,Ramniwas Hospital,10 Shastri Nagar,10 Shastri Nagar Neemuch,Neemuch,Madhya Pradesh,458441,23,432,24.4599732,74.8779232,True
